slug	mcp_url	initialize_status	protected_resource_status	auth_server	dcr	notes
adyen	https://mcp.adyen.com/mcp	ERR	ERR	none	n/a	
aha	https://mcp.aha.io/mcp	404	200 (https://mcp.aha.io/.well-known/oauth-protected-resource/mcp)	https://mcp.aha.io	yes (https://mcp.aha.io/oauth/register)	
ahrefs	https://api.ahrefs.com/mcp/mcp	401	200 (https://api.ahrefs.com/.well-known/oauth-protected-resource/mcp/mcp)	https://api.ahrefs.com/	yes (https://api.ahrefs.com/mcp/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.ahrefs.com/.well-known/oauth-protected-resource"
airbyte	https://mcp.airbyte.ai/mcp	401	200 (https://mcp.airbyte.ai/.well-known/oauth-protected-resource/mcp)	https://mcp.airbyte.ai/	yes (https://mcp.airbyte.ai/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
algolia	https://mcp.algolia.com/mcp	401	200 (https://mcp.algolia.com/.well-known/oauth-protected-resource/mcp)	https://dashboard.algolia.com	yes (https://dashboard.algolia.com/2/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.algolia.com/.well-known/oauth-protected-resource", scope="public"
apify	https://mcp.apify.com/	401	200 (https://mcp.apify.com/.well-known/oauth-protected-resource/)	https://console-backend.apify.com	yes (https://console-backend.apify.com/oauth/apps)	www-auth: www-authenticate: Bearer realm="OAuth", error="invalid_token", error_description="Missing or invalid access token. Pass an Apify API token in the Authorization:
ashby	https://mcp.ashbyhq.com/mcp	404	200 (https://mcp.ashbyhq.com/.well-known/oauth-protected-resource)	https://mcp-auth.ashbyhq.com/oidc	yes (https://mcp-auth.ashbyhq.com/oidc/reg)	
atlan	https://mcp.atlan.com/mcp	401	200 (https://mcp.atlan.com/.well-known/oauth-protected-resource/mcp)	https://mcp.atlan.com	yes (https://mcp.atlan.com/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication required. Obtain a token via the authorization server listed in the protected-
auth0	https://mcp.auth0.com/mcp	403	403	none	n/a	
bigquery	https://bigquery.googleapis.com/mcp	200	200 (https://bigquery.googleapis.com/.well-known/oauth-protected-resource/mcp)	https://accounts.google.com/	no	
biorender	https://mcp.services.biorender.com/mcp	401	404	none	n/a	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.services.biorender.com/.well-known/oauth-authorization-server"
braze	https://mcp.braze.com/mcp	ERR	ERR	none	n/a	
brevo	https://mcp.brevo.com/mcp	404	404	none	n/a	
brex	https://api.brex.com/mcp	401	200 (https://api.brex.com/.well-known/oauth-protected-resource/mcp)	https://api.brex.com	yes (https://api.brex.com/v3/clients)	www-auth: www-authenticate: Bearer realm="api", error="invalid_token", error_description="Missing or invalid Authorization header", authorization_uri="https://accounts-ap
brightdata	https://mcp.brightdata.com/mcp	401	200 (https://mcp.brightdata.com/.well-known/oauth-protected-resource/mcp)	https://brightdata.com	yes (https://brightdata.com/users/auth/mcp/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.brightdata.com/.well-known/oauth-protected-resource", scope="mcp"
browserbase	https://mcp.browserbase.com/mcp	200	404	none	n/a	
bugsnag	https://bugsnag.mcp.smartbear.com/mcp	401	200 (https://bugsnag.mcp.smartbear.com/.well-known/oauth-protected-resource/mcp)	https://oauth.bugsnag.com	yes (https://oauth.bugsnag.com/register)	www-auth: www-authenticate: OAuth resource_metadata="http://bugsnag.mcp.smartbear.com/.well-known/oauth-protected-resource"
buildkite	https://mcp.buildkite.com/mcp	401	200 (https://mcp.buildkite.com/.well-known/oauth-protected-resource/mcp)	https://mcp.buildkite.com	yes (https://mcp.buildkite.com/oauth/register)	www-auth: www-authenticate: Bearer realm="https://mcp.buildkite.com", error="access_denied", error_description="Authentication required", resource_metadata="https://mcp.b
calendly-root	https://mcp.calendly.com/	401	200 (https://mcp.calendly.com/.well-known/oauth-protected-resource)	https://calendly.com/	yes (https://calendly.com/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
calendly-sse	https://mcp.calendly.com/sse	404	200 (https://mcp.calendly.com/.well-known/oauth-protected-resource)	https://calendly.com/	yes (https://calendly.com/oauth/register)	
calendly	https://mcp.calendly.com/mcp	404	200 (https://mcp.calendly.com/.well-known/oauth-protected-resource)	https://calendly.com/	yes (https://calendly.com/oauth/register)	
carta	https://mcp.app.carta.com/mcp	401	200 (https://mcp.app.carta.com/.well-known/oauth-protected-resource/mcp)	https://mcp.app.carta.com/	yes (https://mcp.app.carta.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
catalyst	https://mcp.catalyst.io/mcp	ERR	ERR	none	n/a	
cbinsights	https://mcp.cbinsights.com/mcp	404	200 (https://mcp.cbinsights.com/.well-known/oauth-protected-resource)	https://mcp.cbinsights.com/	yes (https://mcp.cbinsights.com/register)	
chargebee	https://mcp.chargebee.com/mcp	401	200 (https://mcp.chargebee.com/.well-known/oauth-protected-resource/mcp)	https://app.chargebee.com/mcp	no	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.chargebee.com/.well-known/oauth-protected-resource", scope="tool:invoke"
chilipiper	https://fire.chilipiper.com/api/fire-edge/v1/org/mcp	401	200 (https://fire.chilipiper.com/.well-known/oauth-protected-resource)	https://fire.chilipiper.com/api/fire-edge/v1/org/mcp	yes (https://fire.chilipiper.com/api/fire-edge/v1/oauth/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://fire.chilipiper.com/api/fire-edge/v1/org/mcp/.well-known/oauth-protected-resource"
circleback	https://app.circleback.ai/api/mcp	401	200 (https://app.circleback.ai/.well-known/oauth-protected-resource)	https://app.circleback.ai	yes (https://app.circleback.ai/api/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://app.circleback.ai/.well-known/oauth-protected-resource", scope="user"
circleci-sse	https://mcp.circleci.com/sse	404	200 (https://mcp.circleci.com/.well-known/oauth-protected-resource)	https://mcp.circleci.com	no	
circleci	https://mcp.circleci.com/mcp	404	200 (https://mcp.circleci.com/.well-known/oauth-protected-resource)	https://mcp.circleci.com	no	
clarify	https://api.clarify.ai/mcp	401	200 (https://api.clarify.ai/.well-known/oauth-protected-resource/mcp)	https://auth1.clarify.ai	yes (https://auth1.clarify.ai/oauth2/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.clarify.ai/.well-known/oauth-protected-resource/mcp", scope="openid profile email offline_access"
clerk	https://mcp.clerk.com/mcp	200	404	none	n/a	
clockwise	https://mcp.getclockwise.com/mcp	ERR	ERR	none	n/a	
cloudinary	https://asset-management.mcp.cloudinary.com/sse	401	200 (https://asset-management.mcp.cloudinary.com/.well-known/oauth-protected-resource/sse)	https://asset-management.mcp.cloudinary.com	yes (https://asset-management.mcp.cloudinary.com/register)	www-auth: www-authenticate: Bearer resource_metadata="http://asset-management.mcp.cloudinary.com/.well-known/oauth-protected-resource", scope="openid profile email offlin
coda	https://mcp.coda.io/mcp	ERR	ERR	none	n/a	
coingecko	https://mcp.api.coingecko.com/mcp	200	404	none	n/a	
consensus	https://mcp.consensus.app/mcp	401	200 (https://mcp.consensus.app/.well-known/oauth-protected-resource/mcp)	https://consensus.app	yes (https://consensus.app/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.consensus.app/.well-known/oauth-protected-resource", scope="search"
contentful	https://mcp.contentful.com/mcp	401	200 (https://mcp.contentful.com/.well-known/oauth-protected-resource/mcp)	https://mcp.contentful.com	yes (https://mcp.contentful.com/register)	
context7	https://mcp.context7.com/mcp	200	200 (https://mcp.context7.com/.well-known/oauth-protected-resource)	https://context7.com	yes (https://context7.com/api/oauth/register)	www-auth: WWW-Authenticate: Bearer resource_metadata="https://mcp.context7.com/.well-known/oauth-protected-resource"
craft	https://mcp.craft.do/my/mcp	401	200 (https://mcp.craft.do/.well-known/oauth-protected-resource/my/mcp)	https://mcp.craft.do/my/auth	yes (https://mcp.craft.do/my/auth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Missing Authorization header", resource_metadata="https://mcp.craft.do/.well-known/oauth-prot
crossbeam	https://mcp.crossbeam.com/	401	200 (https://mcp.crossbeam.com/.well-known/oauth-protected-resource)	https://mcp.crossbeam.com	yes (https://mcp.crossbeam.com/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://mcp.crossbeam.com/.well-known/oauth-protected-resource"
customerio	https://mcp.customer.io/mcp	401	200 (https://mcp.customer.io/.well-known/oauth-protected-resource/mcp)	https://mcp.customer.io	yes (https://mcp.customer.io/oauth2/register)	www-auth: www-authenticate: Bearer realm="OAuth", error="invalid_token", error_description="Invalid or expired token", resource_metadata="https://mcp.customer.io/.well-kn
daloopa	https://mcp.daloopa.com/server/mcp	401	200 (https://mcp.daloopa.com/.well-known/oauth-protected-resource)	https://mcp.daloopa.com	yes (https://mcp.daloopa.com/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.daloopa.com/.well-known/oauth-protected-resource"
dayai	https://day.ai/api/mcp	401	200 (https://day.ai/.well-known/oauth-protected-resource/api/mcp)	https://day.ai	yes (https://day.ai/api/oauth/register)	www-auth: www-authenticate: Bearer realm="https://day.ai", error="invalid_token", error_description="The access token is missing", error_uri="https://day.ai/.well-known/o
dbt	https://mcp.dbt.com/mcp	ERR	ERR	none	n/a	
deel	https://api.letsdeel.com/mcp	200	200 (https://api.letsdeel.com/.well-known/oauth-protected-resource/mcp)	https://api.letsdeel.com	yes (https://api.letsdeel.com/oauth/register)	
deepl-sse	https://mcp.deepl.com/sse	404	200 (https://mcp.deepl.com/.well-known/oauth-protected-resource)	https://mcp.deepl.com	yes (https://mcp.deepl.com/.idp/register)	
deepl	https://mcp.deepl.com/mcp	404	200 (https://mcp.deepl.com/.well-known/oauth-protected-resource)	https://mcp.deepl.com	yes (https://mcp.deepl.com/.idp/register)	
deepl-v1	https://mcp.deepl.com/v1/mcp	401	200 (https://mcp.deepl.com/.well-known/oauth-protected-resource)	https://mcp.deepl.com	yes (https://mcp.deepl.com/.idp/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.deepl.com/.well-known/oauth-protected-resource"
